 HEX Code, German, English Name
#332F2C,Umbragrau,Umbra grey
#686C5E,Betongrau,Concrete grey
#474A51,Graphitgrau,Graphite grey
#2F353B,Granitgrau,Granite grey
#8B8C7A,Steingrau,Stone grey
#474B4E,Blaugrau,Blue grey
#B8B799,Kieselgrau,Pebble grey
#7D8471,Zementgrau,Cement grey
#8F8B66,Gelbgrau,Yellow grey
#D7D7D7,Lichtgrau,Light grey
#7F7679,Platingrau,Platinum grey
#7D7F7D,Staubgrau,Dusty grey
#B5B8B1,Achatgrau,Agate grey
#6C6960,Quarzgrau,Quartz grey
#9DA1AA,Fenstergrau,Window grey
#8D948D,Verkehrsgrau A,Traffic grey A
#4E5452,Verkehrsgrau B,Traffic grey B
#CAC4B0,Seidengrau,Silk grey
#909090,Telegrau 1,Telegrey 1
#82898F,Telegrau 2,Telegrey 2
#D0D0D0,Telegrau 4,Telegrey 4
#898176,Perlmausgrau,Pearl mouse grey
#826C34,Grünbraun,Green brown
#955F20,Ockerbraun,Ochre brown
#6C3B2A,Signalbraun,Signal brown
#734222,Lehmbraun,Clay brown
#8E402A,Kupferbraun,Copper brown
#59351F,Rehbraun,Fawn brown
#6F4F28,Olivbraun,Olive brown
#5B3A29,Nussbraun,Nut brown
#592321,Rotbraun,Red brown
#382C1E,Sepiabraun,Sepia brown
#633A34,Kastanienbraun,Chestnut brown
#4C2F27,Mahagonibraun,Mahogany brown
#45322E,Schokoladen-braun,Chocolate brown
#403A3A,Graubraun,Grey brown
#212121,Schwarzbraun,Black brown
#A65E2E,Orangebraun,Orange brown
#79553D,Beigebraun,Beige brown
#755C48,Blassbraun,Pale brown
#4E3B31,Terrabraun,Terra brown
#763C28,Perlkupfer,Pearl copper
#FDF4E3,Cremeweiß,Cream
#E7EBDA,Grauweiß,Grey white
#F4F4F4,Signalweiß,Signal white
#282828,Signalschwarz,Signal black
#0A0A0A,Tiefschwarz,Jet black
#A5A5A5,Weißaluminium,White aluminium
#8F8F8F,Graualuminium,Grey aluminium
#FFFFFF,Reinweiß,Pure white
#1C1C1C,Graphitschwarz,Graphite black
#F6F6F6,Verkehrsweiß,Traffic white
#1E1E1E,Verkehrs-schwarz,Traffic black
#D7D7D7,Papyrusweiß,Papyrus white
#9C9C9C,Perlhellgrau,Pearl light grey
#828282,Perldunkelgrau,Pearl dark grey
